journal,year_range,count
Arch Pathol Lab Med,1980-1984,183
Arch Pathol Lab Med,1985-1989,332
Arch Pathol Lab Med,1990-1994,478
Arch Pathol Lab Med,1995-1999,398
Arch Pathol Lab Med,2000-2004,417
Arch Pathol Lab Med,2005-2009,462
Arch Pathol Lab Med,2010-2014,494
Arch Pathol Lab Med,2015-2019,450
Arch Pathol Lab Med,2020-2023,222
Nature,1980-1984,597
Nature,1985-1989,693
Nature,1990-1994,656
Nature,1995-1999,779
Nature,2000-2004,740
Nature,2005-2009,799
Nature,2010-2014,889
Nature,2015-2019,810
Nature,2020-2023,951
Radiology,1980-1984,184
Radiology,1985-1989,535
Radiology,1990-1994,815
Radiology,1995-1999,821
Radiology,2000-2004,361
Radiology,2005-2009,202
Radiology,2010-2014,143
Radiology,2015-2019,566
Radiology,2020-2023,355
Science,1980-1984,101
Science,1985-1989,278
Science,1990-1994,185
Science,1995-1999,83
Science,2000-2004,77
Science,2005-2009,179
Science,2010-2014,173
Science,2015-2019,216
Science,2020-2023,130
The New England journal of medicine,1980-1984,801
The New England journal of medicine,1985-1989,941
The New England journal of medicine,1990-1994,350
The New England journal of medicine,1995-1999,264
The New England journal of medicine,2000-2004,245
The New England journal of medicine,2005-2009,179
The New England journal of medicine,2010-2014,68
The New England journal of medicine,2015-2019,55
The New England journal of medicine,2020-2023,22
